GENE	GeneLength
GCAT	2365
TEK	4654
MPL	2938
ELOVL1	1811
MED8	1743
HYI	1296
CDC20	1793
ADAMTS4	4389
PVRL4	3636
PFDN2	1735
RNF114	3001
C330007P06RIK	3873
NEURL1A	4157
SRM	1338
EPHA2	3913
RBM14	3508
ACTN3	2880
A530013C23RIK	3489
ZDHHC24	2558
BBS1	5581
SLC34A3	2183
NDOR1	4517
NELF	2957
PRL7A1	921
PRL8A9	926
PDK1	5185
PTBP1	3169
MVD	1761
CYBA	758
ITIH3	3302
TMEM110	3518
SFMBT1	7829
ITIH1	3077
IHH	2443
PRKAG3	2341
CRYBA2	763
ATP7B	6505
DEFB2	305
SLC4A1	4545
RUNDC3A	2046
SLC4A3	7182
CDT1	2189
RUNX1T1	6090
SNAI3	1589
APRT	866
GTF2H1	2736
HFE	2458
ABHD1	1634
SLC5A6	3436
TCF23	4101
NPHS1	4608
APLP1	2391
QRICH1	3362
P4HTM	1810
USP19	4715
POLA1	5346
CDC42	2108
PKNOX1	4172
D130043K22RIK	4973
GMNN	1127
ACOT13	721
ZFP184	3198
CYP27B1	2443
CDK4	2053
B4GALNT1	2474
METTL1	1791
TSPAN31	1516
KIF5B	6032
SAAL1	4728
TPH2	2626
KRT23	1565
CNP	2904
TTC25	4340
SULF2	4580
SOD2	3824
TMCO6	1817
STAMBP	2157
EZH1	4207
HAP1	3316
LEPREL4	2178
CTNNB1	3623
EIF1B	917
KLK4	1237
CHRD	4406
PSMD2	3001
SYNGR3	1965
VARS	4137
VWA7	4313
HSPA1L	2471
SLC44A4	3055
MSH5	2886
ABHD16A	1945
NEU1	3619
DDAH2	1342
CLIC1	1466
LSM2	1586
POLE	7163
ATP1A2	6227
ATP1A4	3470
CASQ1	1847
STX1A	2167
CEACAM9	1374
ZFP775	4083
SCUBE2	3571
MRPL49	1722
DENND2C	4979
MARK3	3388
GATAD1	2545
PCDHA10	5422
2310003L06RIK	1603
M6PR	2976
LRRC8A	4322
MC5R	1162
PPP2R1A	2410
FANCE	2193
TINF2	1736
TSSK4	1688
HAPLN4	3576
DUS3L	2303
GTPBP3	2830
TGFBR1	5756
HOMER1	5713
RAD51C	3944
GABRB2	3989
CAV1	2746
ARPP19	4046
BCL2L1	2568
KHSRP	3990
DIO2	5813
CCDC124	911
CCT4	2484
0610009B22RIK	892
CPT1C	2793
TWIST2	1329
ZFP655	4104
RHOA	2126
ZMIZ1	7482
ANKRD26	5704
ALDH16A1	4074
HNRNPA0	2678
PRRG2	1594
HNRNPH1	4577
IFT43	775
ID3	1278
TCAP	948
ARID1A	8187
CRLF1	1644
CTSD	2128
RPLP1	495
CABS1	1492
HMGCLL1	3737
TTC9B	914
PHOX2A	2049
ABHD8	1985
RABL5	911
FZD3	4157
1700008O03RIK	2245
MID1IP1	2022
AP2S1	1054
FGFRL1	2656
4930432K21RIK	2366
FHL2	1563
EMC10	1872
CLSTN3	4014
FBXW9	2327
SPIB	2840
FNBP4	4691
LASS4	3674
SCRN3	3309
PHAX	1942
TLE1	4369
1700109H08RIK	817
RELT	2850
SNRPB2	2061
UBC	2618
PRPF31	3144
SERTAD1	1233
CARHSP1	2849
ELK3	4212
HERPUD2	2744
RDH13	3078
ADAM21	2911
NUTF2	1966
FUT1	2580
ARPC5	1914
RNF151	1189
ELAVL2	4191
POU2F2	2482
MGST1	1167
NFIB	9116
HTR3B	2411
RAB25	1081
UBQLN4	3372
RBFOX1	4084
RPS18	1151
RPL10	930
RPS15A	5130
NCAPH2	3302
HIPK1	7939
GPRC5B	4525
MAN1A2	7969
CEACAM5	3248
TPPP2	741
ACYP1	735
CLDN13	1067
CD163	4492
HDAC5	5406
RALA	2684
CLEC3A	591
VDAC3	1423
SLC1A7	3007
VPS72	2139
GABPA	4987
BMP7	3670
DYNLL1	2030
PDCL	3056
TMEM184B	3361
GM5965	588
RTDR1	1728
NF2	4720
CABP7	2628
ZMAT5	792
EWSR1	2588
AP1B1	4085
DERL3	1336
GSTT4	964
TBX1	1777
GNAT2	2518
BCL2L13	6933
2610028H24RIK	1640
1700027D21RIK	1332
DQX1	3149
CCL8	511
LNP	4096
2310007L24RIK	1110
TMEM8C	1382
FAM163B	2959
TRPM5	4123
ASCL2	1612
RARRES2	708
PTTG1IP	2294
TRPM2	7274
UBE2G2	2031
MPO	2750
LPO	2926
MET	6809
SLC16A12	4051
SYN2	3854
ELK1	3548
NAV1	12767
TNPO1	8453
MYOD1	1854
OTOG	10043
RNMT	5008
KCNQ1	3029
SRP14	798
6330409D20RIK	1119
CDK9	3565
TOR2A	2712
FPGS	2404
MKL2	8295
CBX5	8803
ODAM	1370
APOBEC3	2765
ST6GALNAC1	2392
TAF7L	1933
SARDH	4521
VAV2	5221
TEX15	8405
PPP2CB	1826
G0S2	842
DMAP1	1862
PLA2G12B	1091
CCDC109A	2872
OIT3	2717
TEX11	3278
BCR	6537
FXYD5	2998
KCND1	5287
TFCP2	3250
POU6F2	5974
POU6F1	4953
UBP1	3850
NUAK2	3107
ICK	6560
SDHB	1232
COX4I2	733
SNAP47	1896
WNT3A	2761
KDSR	5582
VPS4B	4633
RPS25	683
NXF2	2393
TAZ	2891
KIF19A	3433
ALDH3A2	3091
ZMYND10	1753
TMEM115	2177
HYAL2	1893
IFRD2	1980
HYAL1	3014
TUSC2	1661
NPRL2	1456
SLC38A3	3146
CACNA2D2	5810
RASSF1	2375
EPN3	3884
RNF112	3161
SLC3A2	2813
NXF1	2283
STX5A	3015
SLC47A1	2987
1700027A23RIK	956
TNFRSF13B	2556
SPIRE2	2330
PROX1	7876
RAVER1	3440
2610507B11RIK	7443
AI597479	3458
TMEM86A	1791
OPTC	1885
TEX14	4763
IFI35	1362
RDM1	1124
NEDD8	602
GOSR1	4289
MRPL52	412
SPACA7	761
KANSL3	4663
EYA4	4091
EBF3	5021
GM16119	2018
MYT1	5509
FAF1	4468
GM266	1213
TSACC	600
METTL16	12584
DAZL	2942
APOL7A	2388
PIGYL	695
RBM25	4244
PSEN2	2020
ACAA1B	1689
PLCD1	2651
FADS1	3456
LMBR1	4920
TNFRSF22	4170
CARS	3222
PHLDA2	757
ASZ1	2345
WNT2	2255
GABRA1	4688
GRID2IP	3865
KDELR3	1414
1700006E09RIK	698
APIP	919
PDHX	2506
VAC14	3028
MCOLN2	2520
SLC5A1	4106
1700049J03RIK	418
AKT1S1	2207
TBRG1	2294
PANX3	2518
ADSSL1	1846
1700026D08RIK	2868
BRF1	2755
VIPR2	3383
ODC1	2547
THG1L	2250
ADAM19	6383
PABPC4	3214
EXOC3L2	2201
ZFP296	1530
PLIN5	1986
SUGP1	2287
DMRTC2	1619
GM5893	1951
DHDH	3354
ZFP790	4525
CPB1	2718
SLC25A41	1225
FSD1	1748
PINLYP	755
FUZ	2717
SPNB4	8747
PGAM1	1831
EVI5	5849
EVI5L	4058
SNAPC2	1513
GIT1	3512
GLTP	1757
BNIP2	2464
CCNT1	7397
SCARF2	3302
4930579F01RIK	1715
BRMS1L	2566
MED15	3383
DHDDS	3219
AIM1L	4761
UBXN11	2207
MOGAT1	1228
TEX22	1267
WNT8A	1746
TJAP1	2595
EHF	4469
NANOG	2211
RPL15	1922
TMEM167	8689
STEAP4	3140
2810021B07RIK	2672
KIF11	4819
RPA3	682
MLKL	2003
PHOX2B	3015
TNPO3	4251
TTLL5	5482
ZFP715	4363
RETN	1139
ACPT	1634
CDH23	11096
RPS5	861
PODNL1	3011
LPHN1	8181
AMOTL1	8957
2200002J24RIK	333
ETV5	3975
TMEM190	586
GFOD2	4352
ENKD1	1272
4933405L10RIK	1212
ATP6V0D1	1629
PTPRS	6855
SLC41A1	4697
FER1L4	6106
4931406B18RIK	3970
IGLON5	2619
IGF2BP1	8378
B4GALNT2	1722
ZFP651	6353
COBRA1	2754
CARD14	4206
TMEM175	2944
BCAS1	2952
D16H22S680E	3813
4833413E03RIK	1092
ALDH1A2	2264
NDUFS2	1845
SNX31	2696
ATRAID	1696
CAD	7137
LYPD8	1219
SH3BP5L	6171
1810065E05RIK	926
ATAD1	2813
PTEN	8292
4933402N03RIK	1826
PEA15A	2501
TIMM23	1173
TNFAIP8L2	1122
TRNT1	2283
LY6G6E	1142
EHMT2	4026
ELOF1	1053
MED16	3197
ST3GAL1	4985
ORF61	3487
RNF170	3929
CLIP3	3381
THAP8	1184
MYL2	889
DEDD	3160
1810033B17RIK	1132
NIT1	3041
PAX5	2575
PRDM15	6346
RNF168	4460
TCTEX1D2	2158
1500003O03RIK	3027
SVAL2	647
TRPV4	3228
KLHL3	3156
FAM18B	1784
DNAJC7	2330
ZFP385C	2766
CACYBP	2115
CLUAP1	1779
ZSWIM7	732
PIGL	2174
NDUFA2	572
PAM16	596
GLIS2	3619
COX6C	3038
BICC1	5431
UBE2Z	3997
GIP	652
TMEM87B	4807
ANAPC1	8942
MERTK	4302
TSG101	1949
HPS5	4953
MAP3K4	5305
FAM38A	8216
BLK	2475
RNF166	1783
ANKRD28	5229
ANKRD52	6620
PKD2L2	2461
SRP19	3295
4930511M11RIK	1680
CLEC4F	2471
KLRA17	1177
WDFY2	2011
ZFYVE20	5334
MRPS25	6073
DGUOK	1737
CAMTA1	8533
CSF1	4176
FAM40A	3231
KIF1A	8257
ALX3	1867
SLC25A11	1711
CHRNE	1616
2310061C15RIK	1612
CHFR	3169
CEACAM16	1635
HOXA2	2423
ADAM28	3110
ANKRD53	1739
TEX261	2987
FAM120B	4518
TBP	12794
PSMB1	1036
PDCD2	1924
DLL1	3581
NOL3	2869
FHOD1	4304
PLEKHG4	4835
SLC9A5	5222
ELMO3	3060
STC1	3743
4931428F04RIK	3552
TPPP3	1396
MSH3	3945
ADAMTS13	4506
TMEM208	950
E2F4	1992
SURF4	3281
SURF2	3254
DNAJB9	1865
NAF1	2990
YES1	4608
PPP1CB	5831
GORASP2	2417
TSEN15	1133
OC90	1909
EFR3A	5215
TRAPPC2L	607
ACSF3	2206
DDX19A	2547
GALNS	2585
GATA2	3241
C8G	1150
ENTPD2	1935
RABL6	3908
PTGDS	1327
EDF1	910
CLIC3	918
NPDC1	1510
FBXW5	2388
SLC25A13	3067
UBE2I	2755
0610007P22RIK	1192
UNKL	4787
LRRK1	7465
ALDH1A3	3441
ACTN1	3739
SIRT2	2117
HNRNPL	2679
NOLC1	3634
CASD1	3986
CNKSR3	3447
MTMR1	4640
HMGB3	1743
MTAP2	6258
CYP2J9	2536
NIPSNAP3A	1553
ABCA1	10262
NIPSNAP3B	1552
LAGE3	1997
UBL4	2442
GDI1	3696
SASH1	7183
GADD45B	1266
SLAMF6	2443
SLAMF1	2693
ZDHHC12	1483
ENDOG	1063
CYBB	4752
