NAME	CHR	GC-CONTENT	TYPE
ABCD2	12	34.95	protein_coding
ABCD3	1	37.07	protein_coding
ABCD4	14	51.47	protein_coding
ABCE1	4	35.08	protein_coding
ABCF1	HSCHR6_MHC_DBB	48.02	protein_coding
ABCF1	HSCHR6_MHC_MANN	47.96	protein_coding
ABCF1	6	47.97	protein_coding
ABCF1	HSCHR6_MHC_MCF	47.96	protein_coding
ABCF1	HSCHR6_MHC_SSTO	47.93	protein_coding
ABCF1	HSCHR6_MHC_QBL	47.93	protein_coding
ABCF1	HSCHR6_MHC_COX	47.93	protein_coding
ABCF2	7	49.19	protein_coding
ABCF3	3	51.95	protein_coding
ABCG1	21	51.02	protein_coding
ABCG2	4	41.4	protein_coding
ABCG4	11	54.49	protein_coding
ABCG5	2	45.18	protein_coding
ABCG8	2	45.73	protein_coding
ABHD1	2	50.65	protein_coding
ABHD10	3	35.84	protein_coding
ABHD11	7	59.95	protein_coding
ABHD11	HG1257_PATCH	59.95	protein_coding
ABHD11-AS1	7	62.54	antisense
ABHD11-AS1	HG1257_PATCH	62.54	antisense
ABHD11-AS2	7	58.74	antisense
ABHD12	20	47.42	protein_coding
ABHD12B	14	42.81	protein_coding
ABHD13	13	35.43	protein_coding
ABHD14A	3	54.77	protein_coding
ABHD14B	3	55.05	protein_coding
ABHD15	17	53.06	protein_coding
ABHD16A	HSCHR6_MHC_DBB	50.36	protein_coding
ABHD16A	6	50.35	protein_coding
ABHD16A	HSCHR6_MHC_MANN	50.36	protein_coding
ABHD16A	HSCHR6_MHC_SSTO	50.33	protein_coding
ABHD16A	HSCHR6_MHC_MCF	50.35	protein_coding
ABHD16A	HSCHR6_MHC_QBL	50.32	protein_coding
ABHD16A	HSCHR6_MHC_COX	50.36	protein_coding
ABHD16B	20	67.68	protein_coding
ABHD2	15	44.01	protein_coding
ABHD3	18	42.45	protein_coding
ABHD4	14	48.41	protein_coding
ABHD5	3	40.26	protein_coding
ABHD6	3	45.11	protein_coding
ABHD8	19	54.9	protein_coding
ABI1	10	38.44	protein_coding
ABI2	2	39.16	protein_coding
ABI3	17	54.13	protein_coding
ABI3BP	3	37.02	protein_coding
ABL1	9	44.47	protein_coding
ABL2	1	41.31	protein_coding
ABLIM1	10	42.6	protein_coding
ABLIM2	4	53.99	protein_coding
ABLIM3	5	44.42	protein_coding
ABO	9	48.71	lincRNA
ABO	HG79_PATCH	48.71	protein_coding
ABP1	7	47.8	protein_coding
ABR	17	55.2	protein_coding
ABRA	8	40.25	protein_coding
ABRACL	6	44.2	protein_coding
ABT1	6	50.15	protein_coding
ABT1	HG27_PATCH	50.15	protein_coding
ABT1P1	4	56.27	pseudogene
ABTB1	3	60.38	protein_coding
ABTB2	11	47.92	protein_coding
AC000041.8	22	49.37	pseudogene
AC000059.1	7	42.99	pseudogene
AC000077.2	22	51.19	pseudogene
AC000078.5	22	57.62	pseudogene
AC000081.2	22	48.82	pseudogene
AC000081.2	HG329_PATCH	48.82	pseudogene
AC000089.3	22	52.06	pseudogene
AC000094.3	22	53.46	pseudogene
AC000094.3	HG329_PATCH	53.46	pseudogene
AC000110.1	7	41.27	pseudogene
AC000111.4	7	38.86	pseudogene
AC000111.5	7	41.43	pseudogene
AC000362.1	7	44.09	pseudogene
AC000367.1	7	37.71	pseudogene
AC000374.1	7	40.46	pseudogene
AC002055.4	22	44.54	pseudogene
AC002055.4	HG497_PATCH	44.54	pseudogene
AC002056.3	22	47.33	pseudogene
AC002069.5	7	43.32	pseudogene
AC002069.6	7	43.4	pseudogene
AC002075.3	7	46.3	pseudogene
AC002075.4	7	47.62	pseudogene
AC002076.9	7	40.52	pseudogene
AC002127.2	7	46.67	pseudogene
AC002128.4	19	54	pseudogene
AC002310.10	16	48.54	pseudogene
AC002310.17	16	50.19	pseudogene
AC002314.4	19	54.72	pseudogene
AC002321.1	GL000201.1	64.81	protein_coding
AC002321.2	GL000201.1	60.21	protein_coding
AC002365.1	X	47.11	protein_coding
AC002366.3	X	45.54	pseudogene
AC002368.4	X	51.9	antisense
AC002400.1	16	41.46	pseudogene
AC002429.4	7	40.54	pseudogene
AC002451.1	7	41.16	protein_coding
AC002486.2	7	41.79	pseudogene
AC002486.3	7	43.48	pseudogene
AC002519.6	16	37.84	pseudogene
AC002523.1	X	53.44	pseudogene
AC002523.1	HG1459_PATCH	53.44	pseudogene
AC002542.2	7	37.31	pseudogene
AC002543.2	7	42.39	pseudogene
AC002553.1	17	32.04	protein_coding
AC002553.4	17	41.18	pseudogene
AC002984.2	19	47.54	pseudogene
AC003009.2	16	38.34	pseudogene
AC003045.1	7	38.17	pseudogene
AC003080.4	7	48.76	pseudogene
AC003087.4	7	39.46	pseudogene
AC003102.1	17	49.9	protein_coding
AC003682.17	19	61.97	pseudogene
AC003958.1	HSCHR17_1_CTG4	49.75	pseudogene
AC003958.6	17	59.71	pseudogene
AC003958.6	HSCHR17_1_CTG4	59.71	pseudogene
AC003973.1	19	53.64	pseudogene
AC003989.3	7	45.56	pseudogene
AC003989.4	7	48.67	pseudogene
AC004006.2	7	51.72	pseudogene
AC004014.4	7	45.85	pseudogene
AC004016.2	7	51.74	pseudogene
AC004017.1	19	42.02	protein_coding
AC004017.2	19	51.34	protein_coding
AC004019.10	22	56.54	pseudogene
AC004022.7	7	44.53	pseudogene
AC004022.8	7	44.28	pseudogene
AC004057.1	4	35.49	pseudogene
AC004062.2	4	42.17	pseudogene
AC004066.2	4	61.47	pseudogene
AC004069.1	4	41.65	pseudogene
AC004074.3	X	45.89	pseudogene
AC004074.4	X	40.64	pseudogene
AC004112.5	7	38.22	pseudogene
AC004112.7	7	40.96	pseudogene
AC004129.7	7	46.97	pseudogene
AC004129.9	7	51.88	pseudogene
AC004148.1	17	45.55	protein_coding
AC004152.5	19	73.43	pseudogene
AC004159.1	7	49.19	pseudogene
AC004166.6	7	48.51	pseudogene
AC004166.7	7	46.11	pseudogene
AC004383.3	X	41.87	pseudogene
AC004386.3	X	36.49	pseudogene
AC004386.4	X	42.31	pseudogene
AC004453.8	7	51.3	pseudogene
AC004461.4	22	57.58	pseudogene
AC004463.6	22	63.14	antisense
AC004466.1	12	57.67	protein_coding
AC004478.2	X	47.83	pseudogene
AC004507.1	5	39.05	pseudogene
AC004510.2	19	70.81	pseudogene
AC004593.2	7	48.5	pseudogene
AC004692.5	7	54.72	pseudogene
AC004771.1	17	73.92	pseudogene
AC004790.4	19	60.46	pseudogene
AC004790.5	19	61.99	pseudogene
AC004797.1	17	37.7	pseudogene
AC004832.1	22	57.2	pseudogene
AC004837.3	7	56.38	pseudogene
AC004854.5	7	45.08	pseudogene
AC004866.1	7	38.46	pseudogene
AC004866.3	7	48.03	pseudogene
AC004870.5	7	62.93	pseudogene
AC004878.3	7	42.19	pseudogene
AC004878.5	7	49	pseudogene
AC004878.6	7	51.01	pseudogene
AC004878.8	7	50.35	antisense
AC004889.1	7	41.74	pseudogene
AC004893.10	7	49.39	pseudogene
AC004894.2	7	43.84	pseudogene
AC004899.1	7	42.05	protein_coding
AC004899.3	7	40.69	pseudogene
AC004907.2	7	38.5	pseudogene
AC004909.3	7	43.38	pseudogene
AC004911.2	7	59.59	pseudogene
AC004920.2	7	44.52	pseudogene
AC004938.5	7	46.1	pseudogene
AC004941.5	7	44.3	pseudogene
AC004945.1	7	55.65	pseudogene
AC004951.5	7	57.33	pseudogene
AC004957.5	7	43.59	pseudogene
AC004967.11	7	47.53	pseudogene
AC004967.7	7	46.12	pseudogene
AC004967.8	7	49.89	pseudogene
AC004980.10	7	43.26	pseudogene
AC004980.11	7	52.32	pseudogene
AC004980.7	7	41.83	pseudogene
AC004980.8	7	35.34	pseudogene
AC004980.9	7	44.72	pseudogene
AC004985.12	7	54.6	pseudogene
AC004987.10	7	65.94	pseudogene
AC004987.8	7	60.12	pseudogene
AC004987.9	7	60.45	pseudogene
AC004996.1	7	46.55	pseudogene
AC005003.1	22	59.52	protein_coding
AC005007.3	7	47.91	pseudogene
AC005008.3	7	40.2	pseudogene
AC005013.1	7	56.92	pseudogene
AC005014.5	7	57.86	pseudogene
AC005017.2	7	47.55	pseudogene
AC005019.2	7	44.53	pseudogene
AC005033.6	2	40.96	pseudogene
AC005034.2	2	64.01	pseudogene
AC005034.3	2	48.24	pseudogene
AC005037.1	2	59.82	pseudogene
AC005037.4	2	43.91	pseudogene
AC005037.6	2	34.9	pseudogene
AC005040.3	2	42.95	pseudogene
AC005041.11	2	55.63	pseudogene
AC005042.2	2	50.75	pseudogene
AC005042.3	2	37.93	pseudogene
AC005046.5	7	48.26	pseudogene
AC005067.1	HG1257_PATCH	45.19	snoRNA
AC005071.2	7	44.67	protein_coding
AC005077.12	7	43.95	pseudogene
AC005077.12	HG1257_PATCH	43.95	pseudogene
AC005077.14	7	68.33	pseudogene
AC005077.14	HG1257_PATCH	68.33	pseudogene
AC005077.5	7	54.56	pseudogene
AC005077.5	HG1257_PATCH	54.56	pseudogene
AC005077.7	7	40.64	pseudogene
AC005077.7	HG1257_PATCH	40.64	pseudogene
AC005077.8	7	46.93	pseudogene
AC005077.8	HG1257_PATCH	46.93	pseudogene
AC005077.9	7	46.36	pseudogene
AC005077.9	HG1257_PATCH	46.36	pseudogene
AC005082.1	7	40.06	protein_coding
AC005094.2	7	45.1	pseudogene
AC005102.1	7	56.99	pseudogene
AC005102.1	HG1257_PATCH	56.99	pseudogene
AC005105.2	7	53.41	pseudogene
AC005154.7	7	50.32	pseudogene
AC005154.8	7	43.54	pseudogene
AC005176.1	19	42.86	pseudogene
AC005176.2	19	44.23	pseudogene
AC005176.3	19	45.05	pseudogene
AC005178.1	5	36.14	pseudogene
AC005189.6	7	45.48	pseudogene
AC005215.1	5	50.4	pseudogene
AC005229.5	7	50.38	pseudogene
AC005229.7	7	57.7	pseudogene
AC005237.2	2	65.3	pseudogene
AC005251.4	7	48.36	pseudogene
AC005255.3	19	36.67	pseudogene
AC005255.5	19	46.44	pseudogene
AC005255.6	19	47.63	pseudogene
AC005262.4	19	57.33	pseudogene
AC005300.5	22	49.33	pseudogene
AC005326.2	7	60.87	pseudogene
AC005329.1	19	59.31	protein_coding
AC005336.2	19	58.88	pseudogene
AC005336.4	19	43.08	pseudogene
AC005336.5	19	61.79	pseudogene
AC005351.1	5	41.73	pseudogene
AC005357.1	19	29.9	pseudogene
AC005363.9	16	50.43	pseudogene
AC005488.11	7	50.42	pseudogene
AC005488.11	HG1257_PATCH	50.42	pseudogene
AC005488.12	7	51.84	pseudogene
AC005488.12	HG1257_PATCH	51.84	pseudogene
AC005488.13	7	48.44	pseudogene
AC005488.13	HG1257_PATCH	46.56	pseudogene
AC005493.1	7	38.32	protein_coding
AC005510.1	4	40.9	pseudogene
AC005517.3	17	48.47	pseudogene
AC005522.6	7	49.42	pseudogene
AC005534.6	7	43.88	pseudogene
AC005539.2	2	40.09	pseudogene
AC005544.1	17	56.52	protein_coding
AC005550.6	7	45.48	pseudogene
AC005559.3	19	75.13	pseudogene
AC005588.2	7	46.91	pseudogene
AC005606.1	16	55.68	protein_coding
AC005609.1	5	52.05	protein_coding
AC005609.2	5	31.32	pseudogene
AC005626.3	19	50.74	pseudogene
AC005682.6	7	44.24	pseudogene
AC005682.7	7	46.99	pseudogene
AC005702.1	17	64.63	miRNA
AC005702.4	17	67.07	miRNA
AC005722.4	17	56.12	pseudogene
AC005730.2	17	51.74	pseudogene
AC005740.3	5	48.47	pseudogene
AC005740.4	5	55.61	pseudogene
AC005741.2	5	38.19	pseudogene
AC005758.1	19	40.35	pseudogene
AC005777.3	19	64.71	pseudogene
AC005786.3	19	40.91	pseudogene
AC005794.1	19	48.26	pseudogene
AC005795.1	19	50.07	pseudogene
AC005795.2	19	43.82	pseudogene
AC005822.1	17	51.45	pseudogene
AC005838.2	17	57.51	pseudogene
AC005841.1	12	51.85	protein_coding
AC005884.1	17	49.68	pseudogene
AC005955.4	19	35.05	pseudogene
AC005955.5	19	40.18	pseudogene
AC006011.4	2	50.43	pseudogene
AC006014.10	7	48.75	pseudogene
AC006014.7	7	41.41	pseudogene
AC006014.7	HG1257_PATCH	41.4	pseudogene
AC006014.8	7	50.95	pseudogene
AC006014.8	HG1257_PATCH	50.95	pseudogene
AC006022.4	7	58.51	pseudogene
AC006023.8	7	42.38	pseudogene
AC006024.4	7	40.83	pseudogene
AC006026.10	7	52.63	pseudogene
AC006026.11	7	39.81	pseudogene
AC006026.12	7	48.33	pseudogene
AC006026.9	7	37.49	pseudogene
AC006028.11	7	39.8	pseudogene
AC006030.1	2	54.57	pseudogene
AC006033.22	7	69.25	pseudogene
AC006035.2	7	26.95	protein_coding
AC006042.8	7	38.76	pseudogene
AC006045.3	7	37.88	pseudogene
AC006052.1	4	41.45	pseudogene
AC006070.11	17	59.77	pseudogene
AC006070.11	HSCHR17_6_CTG4	59.59	pseudogene
AC006070.12	17	56.99	pseudogene
AC006070.13	17	61.35	pseudogene
AC006070.13	HSCHR17_6_CTG4	61.35	pseudogene
AC006070.13	HSCHR17_5_CTG4	61.35	pseudogene
AC006115.6	19	50.5	pseudogene
AC006116.13	19	43.52	pseudogene
AC006116.14	19	46.54	pseudogene
AC006116.22	19	44.51	pseudogene
AC006116.26	19	39.14	pseudogene
AC006116.27	19	42.2	pseudogene
AC006130.4	19	50.23	pseudogene
AC006133.3	19	40.59	pseudogene
AC006153.3	7	37.52	pseudogene
AC006156.1	Y	45.89	protein_coding
AC006160.4	4	44.03	pseudogene
AC006195.2	7	54.06	pseudogene
AC006293.3	19	46.04	processed_transcript
AC006293.3	HSCHR19LRC_COX1_CTG1	46.16	processed_transcript
AC006293.3	HSCHR19LRC_PGF1_CTG1	45.69	processed_transcript
AC006326.3	7	37.7	pseudogene
AC006326.5	7	35.51	pseudogene
AC006328.9	Y	61.21	pseudogene
AC006335.10	Y	57.32	pseudogene
AC006335.11	Y	45.85	pseudogene
AC006335.2	Y	44.95	pseudogene
AC006335.6	Y	58.32	pseudogene
AC006335.7	Y	60.76	pseudogene
AC006355.3	7	44.96	pseudogene
AC006366.3	Y	35.18	pseudogene
AC006372.1	7	53.08	protein_coding
AC006374.2	7	40.89	pseudogene
AC006390.3	4	45.91	pseudogene
AC006390.4	4	42.76	pseudogene
AC006427.2	4	48.74	pseudogene
AC006445.6	4	41.62	pseudogene
AC006445.7	4	47.56	pseudogene
AC006449.1	17	53.28	protein_coding
AC006455.1	7	51.8	protein_coding
AC006461.2	2	41.1	pseudogene
AC006465.3	7	37.58	protein_coding
AC006465.4	7	42.09	pseudogene
AC006466.5	7	49.13	pseudogene
AC006483.5	7	51.12	pseudogene
AC006486.1	19	54.66	protein_coding
AC006499.1	4	41.81	pseudogene
AC006499.2	4	42.41	pseudogene
AC006499.3	4	47.59	pseudogene
AC006499.4	4	42.14	pseudogene
AC006499.5	4	45.24	pseudogene
AC006499.6	4	48.94	pseudogene
AC006499.7	4	49.26	pseudogene
AC006499.8	4	48.47	pseudogene
AC006509.4	2	49.02	pseudogene
AC006509.7	2	42.11	pseudogene
AC006539.2	19	51.66	pseudogene
AC006539.3	19	46.79	pseudogene
AC006539.4	19	40.28	pseudogene
AC006548.19	22	43.14	pseudogene
AC006548.20	22	48.2	pseudogene
AC006946.12	22	48.17	pseudogene
AC006960.5	7	50.36	pseudogene
AC006967.1	7	50.5	protein_coding
AC006978.6	7	46.24	pseudogene
AC006987.4	Y	56.5	pseudogene
AC006987.5	Y	63.05	pseudogene
AC006987.6	Y	61.48	pseudogene
AC006987.7	Y	58.45	pseudogene
AC006989.2	Y	50.62	pseudogene
AC006994.1	2	44.93	pseudogene
AC006995.8	7	48.52	pseudogene
AC007000.10	7	37.37	pseudogene
AC007000.11	7	60.74	pseudogene
AC007000.12	7	52.59	pseudogene
AC007014.1	16	46.49	pseudogene
AC007016.3	4	51.23	pseudogene
AC007040.10	2	48.01	pseudogene
AC007041.2	2	45.11	pseudogene
AC007050.18	22	60.32	pseudogene
AC007064.22	22	36.49	pseudogene
AC007064.25	22	48.43	pseudogene
AC007115.3	12	40.6	pseudogene
AC007136.1	19	52.76	pseudogene
AC007163.10	2	32.56	pseudogene
AC007163.11	2	33.56	pseudogene
AC007163.4	2	41.96	pseudogene
AC007163.8	2	33.23	pseudogene
AC007163.9	2	34.62	pseudogene
AC007189.2	2	55.54	pseudogene
AC007228.8	19	57.04	pseudogene
AC007229.3	19	43.69	pseudogene
AC007237.2	7	47.49	pseudogene
AC007238.1	2	48.19	pseudogene
AC007241.3	Y	50.26	pseudogene
AC007242.3	2	38.25	pseudogene
AC007248.6	2	58.15	pseudogene
AC007248.7	2	48.96	pseudogene
AC007253.1	2	46.34	pseudogene
AC007256.5	2	38.19	pseudogene
AC007272.2	2	46.63	pseudogene
AC007272.3	2	45.07	pseudogene
AC007274.2	Y	56.24	pseudogene
AC007274.5	Y	56.46	pseudogene
AC007276.5	7	36.47	pseudogene
AC007279.2	2	56.87	pseudogene
AC007282.6	2	36.31	pseudogene
AC007283.4	2	42.13	pseudogene
AC007292.1	19	49.06	pseudogene
AC007308.1	22	51.66	protein_coding
AC007312.3	7	53.49	pseudogene
AC007316.3	7	39.31	pseudogene
AC007318.5	2	45.48	pseudogene
AC007322.1	Y	57.25	pseudogene
AC007322.3	Y	58.91	pseudogene
AC007322.5	Y	58.93	pseudogene
AC007322.7	Y	58.34	pseudogene
AC007327.6	7	39.39	pseudogene
AC007362.1	2	41.08	pseudogene
AC007365.4	2	54.8	pseudogene
AC007375.1	14	61.97	protein_coding
AC007382.1	2	37.25	protein_coding
AC007383.6	2	45.44	pseudogene
AC007386.3	2	46.05	pseudogene
AC007387.2	2	59.33	pseudogene
AC007389.1	2	53.14	pseudogene
AC007389.2	2	43.14	pseudogene
AC007389.4	2	54.17	pseudogene
AC007390.4	2	44.38	pseudogene
AC007394.3	2	42.37	pseudogene
AC007395.4	2	38.26	pseudogene
AC007431.1	17	51.08	protein_coding
AC007461.1	17	41.75	protein_coding
AC007551.2	7	46.44	pseudogene
AC007556.2	2	39.51	pseudogene
AC007559.1	2	44.23	pseudogene
AC007560.1	2	48.95	pseudogene
AC007562.1	Y	37.25	pseudogene
AC007563.4	2	43.13	pseudogene
AC007566.11	7	43.29	pseudogene
AC007568.1	7	45.9	pseudogene
AC007618.3	12	46.66	pseudogene
AC007677.2	2	44.08	pseudogene
AC007679.1	2	54.22	pseudogene
AC007679.4	2	46.14	pseudogene
AC007690.1	3	47.29	pseudogene
AC007742.3	Y	38.3	pseudogene
AC007742.7	Y	35.3	pseudogene
AC007790.4	7	42.88	pseudogene
AC007875.2	7	44.92	pseudogene
AC007875.3	7	50.97	pseudogene
AC007881.4	2	57.75	pseudogene
AC007881.5	2	46.66	pseudogene
AC007899.3	2	40	pseudogene
AC007919.18	3	38.25	pseudogene
AC007919.19	3	47.36	pseudogene
AC007919.2	3	53.1	protein_coding
AC007952.1	17	55.58	protein_coding
AC007956.1	14	41.84	protein_coding
AC007967.2	Y	57.43	pseudogene
AC007967.3	Y	34.89	pseudogene
AC007967.4	Y	56.08	pseudogene
AC007969.4	2	42.41	pseudogene
AC007969.5	2	62.19	pseudogene
AC008040.1	3	33.58	protein_coding
AC008065.1	2	50.86	pseudogene
AC008069.2	2	47.85	pseudogene
AC008070.1	2	39.26	pseudogene
AC008072.1	2	42.96	pseudogene
AC008074.5	2	50.82	pseudogene
AC008103.1	22	41.22	protein_coding
AC008132.1	22	42.52	protein_coding
AC008132.12	22	45.23	pseudogene
AC008132.14	22	55.24	pseudogene
AC008155.1	7	53.5	pseudogene
AC008155.2	7	47.61	pseudogene
AC008163.6	7	35.99	pseudogene
AC008171.1	2	56.5	pseudogene
AC008173.1	2	42.8	pseudogene
AC008264.4	7	48.5	pseudogene
AC008265.2	7	56.17	pseudogene
AC008267.1	7	51.16	protein_coding
AC008268.2	2	56.21	pseudogene
AC008279.1	2	41.96	pseudogene
AC008280.1	2	45.09	pseudogene
AC008280.3	2	44.3	pseudogene
AC008391.2	5	48.13	protein_coding
AC008394.1	5	37.95	protein_coding
AC008427.2	5	41.98	pseudogene
AC008443.1	5	37.6	protein_coding
AC008498.1	5	31.56	protein_coding
AC008537.1	19	52.25	protein_coding
AC008565.1	5	37.79	pseudogene
AC008592.3	5	48.31	pseudogene
AC008676.1	5	43.62	protein_coding
AC008694.2	5	47.37	pseudogene
AC008746.10	19	46.4	pseudogene
AC008746.10	HSCHR19LRC_COX2_CTG1	46.4	pseudogene
AC008746.10	HSCHR19LRC_PGF1_CTG1	46.4	pseudogene
AC008746.12	19	50.19	lincRNA
AC008746.3	19	56.44	antisense
AC008746.3	HSCHR19LRC_COX1_CTG1	56.5	antisense
AC008746.5	19	42.66	pseudogene
AC008746.5	HSCHR19LRC_COX1_CTG1	42.66	pseudogene
AC008746.5	HSCHR19LRC_PGF1_CTG1	42.66	pseudogene
AC008746.9	19	54.69	pseudogene
AC008746.9	HSCHR19LRC_COX1_CTG1	54.69	pseudogene
AC008746.9	HSCHR19LRC_PGF1_CTG1	54.69	pseudogene
AC008753.3	19	50	pseudogene
AC008834.2	5	50.29	pseudogene
AC008850.3	5	45.37	pseudogene
AC008948.1	5	32.7	protein_coding
AC008964.1	5	31.26	protein_coding
AC008984.5	19	56.76	pseudogene
AC008984.5	HSCHR19LRC_COX1_CTG1	56.76	pseudogene
AC008984.5	HSCHR19LRC_COX2_CTG1	56.76	pseudogene
AC008984.5	HSCHR19LRC_PGF2_CTG1	56.76	pseudogene
AC008984.6	19	53.05	pseudogene
AC008984.6	HSCHR19LRC_COX2_CTG1	53.15	pseudogene
AC008984.6	HSCHR19LRC_PGF2_CTG1	53.02	pseudogene
AC008984.7	19	44.66	pseudogene
AC008984.7	HSCHR19LRC_COX1_CTG1	44.64	pseudogene
AC008984.7	HSCHR19LRC_COX2_CTG1	44.63	pseudogene
AC008984.7	HSCHR19LRC_PGF2_CTG1	45.24	pseudogene
AC008993.5	19	51.75	pseudogene
AC009065.1	16	47.57	protein_coding
AC009113.1	16	49.31	protein_coding
AC009120.3	16	50.13	pseudogene
AC009120.8	16	48.1	pseudogene
AC009161.1	16	35.11	pseudogene
AC009166.3	16	46.34	pseudogene
AC009223.1	2	44.78	pseudogene
AC009229.4	2	41.07	pseudogene
AC009234.1	2	45.04	pseudogene
AC009237.10	2	43.91	pseudogene
AC009237.11	2	47.76	pseudogene
AC009237.13	2	43.28	pseudogene
AC009237.14	2	40.17	pseudogene
AC009237.16	2	45.53	pseudogene
AC009237.17	2	41.51	pseudogene
AC009237.2	2	39.53	pseudogene
AC009237.4	2	44.91	pseudogene
AC009237.5	2	43.73	pseudogene
AC009237.6	2	36.98	pseudogene
AC009237.8	2	64.07	pseudogene
AC009237.9	2	47.83	pseudogene
AC009238.6	2	57.19	pseudogene
AC009238.7	2	41.51	pseudogene
AC009238.8	2	45.07	pseudogene
AC009245.3	7	46.64	pseudogene
AC009263.2	7	41.98	pseudogene
AC009274.6	7	55.14	pseudogene
AC009274.6	HG1308_PATCH	55.14	pseudogene
AC009294.1	11	45.69	pseudogene
AC009299.4	2	58.72	pseudogene
AC009299.5	2	73.49	pseudogene
AC009302.2	2	39.74	pseudogene
AC009302.4	2	47.87	pseudogene
AC009303.3	2	46.41	pseudogene
AC009310.1	2	41.91	pseudogene
AC009313.2	2	39.72	pseudogene
AC009336.1	2	54.56	protein_coding
AC009362.2	7	47.29	pseudogene
AC009413.2	2	48.12	pseudogene
AC009414.1	HSCHR2_1_CTG1	44.24	pseudogene
AC009414.1	2	44.24	pseudogene
AC009474.1	2	52.99	pseudogene
AC009474.2	2	48.53	pseudogene
AC009476.1	2	40.68	pseudogene
AC009477.7	2	70.05	pseudogene
AC009480.4	2	41.2	pseudogene
AC009487.6	2	40.8	pseudogene
AC009487.7	2	51.92	pseudogene
